"","flL1L2-ERR1466827","flL1L2-ERR1466828","FLF-ERR1466829","FLF-ERR1466830","FLM-ERR1466831","FLM-ERR1466832","iL3-ERR1466833","iL3-ERR1466834","PF-ERR1466835","pL1L2-ERR1466836"
"SPAL_0000000100",-0.419989256033641,-1.89097503644443,-5.63430827123222,-6.23659500369984,-5.72767279131851,-4.33303312002314,-4.93162558257181,-6.44474278651397,-5.6925905379558,-1.51873889682542
"SPAL_0000000300",-3.69393529677527,-4.8276687981083,-4.05101959948753,-6.23659500369984,-2.02734341240079,-3.10626680086278,-4.93162558257181,-6.44474278651397,3.75041324828246,-2.65706690739811
"SPAL_0000000400",2.15957679896158,2.13503513472995,3.51275023209765,4.17926440892595,1.72575178802223,2.43855254222135,3.71230250456603,4.22450055853252,3.81515383081456,1.91891666921488
"SPAL_0000000600",-5.2761336028417,-4.09320700937163,-4.05292471254828,-6.23659500369984,-2.55666900167139,-5.91562289636582,-4.93162558257181,-6.44474278651397,7.54000175200532,-0.734051055993813
"SPAL_0000000700",-2.47484367749066,0.48040956971229,5.34511426348573,3.18482011734848,1.64515919574116,2.19076997382546,-2.61197900740059,-2.53273668685622,-4.10771763250626,-3.39469855366263
"SPAL_0000001375",-2.10836464070776,-1.20360349171395,-2.82752447812146,-2.15016635965819,-1.6379590547335,-0.625087968678747,0.197851681150181,0.376967945415682,-0.266061533969065,-0.119674294327174
"SPAL_0000001700",1.05837155084905,-0.306049482280454,-0.592810802365674,-1.47903974055322,-0.232302992786851,-1.26338363274266,-0.540956453285464,-0.558106048664479,-1.30026973767323,1.39518485986106
"SPAL_0000001800",-0.0276474824003373,0.856607749312645,0.228315635254554,-0.209245867050889,0.626999810526231,-0.0840768363349364,1.48607506363182,2.03107233013425,0.263835882395562,0.548519688330014
"SPAL_0000001900",-3.47048534049455,-3.0701255213409,-4.05043328804811,-3.72978422308591,-2.33750171713751,-4.46254463202371,-2.23874761670379,-1.0210322407706,-4.1075205709286,-3.21805609922092
"SPAL_0000002000",-5.2761336028417,-4.82902490198321,-5.63430827123222,-6.23659500369984,-5.72767279131851,-5.91562289636582,-3.34915011011068,-6.44474278651397,2.81490339872206,-4.97676255805371
"SPAL_0000002100",-3.69333540778309,-3.24269078738616,-1.54792934329188,-3.42790345884497,-2.26488013463055,-2.00152502817405,3.61903983668536,4.07545816428394,-4.10707494610865,-4.97676255805371
"SPAL_0000002400",-5.2761336028417,-2.02125088668056,-0.42736237543833,-0.080892566316848,-2.91548934705882,-2.73520228736077,-4.93162558257181,-6.44474278651397,1.02300263538921,-4.97676255805371
"SPAL_0000002500",0.550025757595815,0.0276511548558086,0.244296352192138,-0.0421754018780105,0.580240337218243,0.694593892282522,-2.61185578450851,-1.9161218734056,-1.44477247014101,1.28589443531106
"SPAL_0000002533",-5.2761336028417,0.215231512204952,-5.63430827123222,-1.29907146396821,-3.40143142842708,-3.11653339646414,-0.266610504091472,0.0550501727316463,-1.15618954394134,-4.97676255805371
"SPAL_0000002566",-1.35194460801242,-1.12238104609905,-2.80353932257223,-2.77391900697016,-2.58866463772068,-2.47511794624838,2.49696086789723,2.19098878307256,-1.79265442052237,-0.59730045154744
"SPAL_0000002600",4.50305903173448,3.37238287501347,2.69934113775907,2.66194278211721,3.16096644438321,2.53831284656025,6.2630576682428,6.35907367777154,2.24419147933788,3.97839635940043
"SPAL_0000002700",4.10748854014014,4.4684444887588,5.43531195062744,5.46125201234406,4.50568330402433,4.51455358709336,6.66427175804951,7.48086475379195,5.31113633427641,4.77931828624771
"SPAL_0000002800",5.88209155879969,6.08588612454842,5.37374710943102,5.69643318497388,5.02374505949041,5.05891358666503,5.16079516561001,5.26261949134128,5.74162912658182,5.29998242700371
"SPAL_0000002900",1.51281400769969,2.12055981658313,2.02796753798299,2.25414920381779,0.751658035095957,0.913331382588709,2.64401077763207,3.50923343748778,0.783144415802556,1.3951058263064
"SPAL_0000003000",3.97529073899266,3.8865625028939,3.78406695970342,4.12028337142973,3.43757724942053,3.20734420590225,3.82604637013288,4.00178122627908,2.60678123746715,3.35683653575923
"SPAL_0000003100",8.11853312609102,8.55253929046648,7.77032611367812,7.1794955497807,7.89755188527559,7.72315127769443,11.9502114170056,11.7835435416712,5.70719773670879,8.00167932254221
"SPAL_0000003200",6.83972847704665,6.25331409377922,7.52561385380411,6.87935348137405,6.42092592890494,6.03382588822227,7.22279814398135,7.20530996427409,6.25733537054085,6.99469841230279
"SPAL_0000003300",2.00598291161386,2.06268195076344,1.83901156089279,2.0137582586124,1.7872433503404,1.51478257906954,6.36668558993438,6.1107600012116,1.20325460493477,1.17794599975113
"SPAL_0000003400",3.5633268217553,5.32844771306271,2.819991684307,2.00608264561128,3.33289206519989,2.74481016954853,1.78251204814612,1.81928983489285,2.3791018096449,3.72587475381407
"SPAL_0000003500",6.00620298375282,5.66327631372462,7.78404082481289,8.25858412216832,5.71317751357722,6.35564316892508,5.61295616766558,5.75938228719758,7.19970594696508,6.19809280586831
"SPAL_0000003600",-1.37591599985026,4.56675071148294,0.628191246429285,0.613909326494885,6.06576329618463,6.72153460983544,-3.34859874694196,-1.31007327067921,-0.563447404801404,-2.17318523777035
"SPAL_0000003700",0.500791111846097,7.03400494391069,3.36621872688941,2.30803350515231,8.64098816861834,8.80152399365697,-1.7627065079553,-0.713581931224735,-0.266245348849617,-0.455557149431419
"SPAL_0000003800",5.27983514675189,5.47600667966507,6.31077537712126,6.89968209953299,5.81843120115311,6.57202005902787,2.86761096956142,3.19767509217242,6.25980031443862,5.15332535118153
"SPAL_0000003900",7.11520833041819,5.39490985547573,6.14518579097169,6.35621663245297,3.83673733788145,4.1292863339263,1.21562558668299,-0.373655321223269,5.38346346537987,6.95844990780013
"SPAL_0000004000",-0.235954569548445,0.4562651790865,2.4133872826708,2.28441804584901,0.252715248846746,0.691697755091528,1.13346348902731,0.815779386949163,1.12768764829748,1.73516811630223
"SPAL_0000004100",3.44961416032558,3.44166898752658,3.29626619610112,3.09507205587116,3.33937908985009,3.12395392539104,1.8080123512038,2.40180410940016,1.38421543652141,3.41660066800608
"SPAL_0000004200",3.60446705345173,4.94387601818888,5.82325249417353,6.70987893859169,5.25342502627932,6.15687120795768,4.10440503262193,4.56072053818527,5.89234809328067,4.331003162259
"SPAL_0000004300",4.65989002756888,3.59166092277763,5.25783784913262,5.48307163934932,3.99981396024851,4.20395480318623,3.94935976548587,3.80748492598357,4.54574473926035,4.66562701779662
"SPAL_0000004400",2.57682153557517,1.7127085030549,3.09927746436959,3.33691937210985,1.21586515415568,1.43416308467182,1.78492562103696,2.56217500488657,3.30522112868021,2.61744022023007
"SPAL_0000004450",1.26898825335059,1.94415299393895,1.46942994334484,1.25153732288725,1.26023109195417,1.11358186032593,0.565530014702741,-0.0408402463624049,-0.562298942842443,1.05056064568125
"SPAL_0000004600",-1.82040192663139,-1.36943061853231,-4.05064384965662,-1.37762317500617,-1.63733707525038,-2.44967009607377,-1.23198114589087,-2.19403744620292,-1.60501218779382,-3.39322488475506
"SPAL_0000004700",-2.96027452383246,-0.860980592705688,-2.46854635650904,-1.22528367658194,-2.26416197053048,-3.58466688289667,-1.47510136360126,-1.08142000226354,-1.60529680514815,-2.65861577444256
"SPAL_0000004900",-2.09656664467116,0.0457688868352426,-2.80354890879279,-1.82727973064166,-2.59618357852322,-1.68094914832745,-2.13698851034566,-4.15692012048825,-2.89546552825952,-2.66942140898803
"SPAL_0000005000",-1.8180073467461,-1.45928573832544,-3.31258685392799,-6.23659500369984,-1.48029899193002,-2.45615134028155,0.494650203655127,1.08387719857532,-2.88639552788126,-1.27695896740437
"SPAL_0000005100",-5.2761336028417,-6.40746251273142,-5.63430827123222,-6.23659500369984,-5.72767279131851,-5.91562289636582,-4.93162558257181,-2.50918031549096,1.58088996733867,-4.97676255805371
"SPAL_0000005200",-0.525045444173035,4.13004413078453,1.5635295698114,1.97858176604143,5.72808330847536,5.95519553196701,0.682323885498311,0.852682279254281,0.716937108064613,-0.455153735152513
"SPAL_0000005300",3.09993171719033,3.23560864377885,5.7069596704977,5.87034928442366,4.41845588310732,4.40242278204895,4.88340025377535,4.41941643795023,5.3181272679926,3.76648854185355
"SPAL_0000005400",7.45653249250941,7.64303462247147,7.73327833589894,8.04059800299173,8.01272944493919,8.59684264885039,6.30117160485277,7.04336837341163,7.39064135140141,7.60453993161056
"SPAL_0000005500",4.58296180503471,4.82458736963518,5.8496910114863,6.23716443646482,4.93679330207732,4.94756931726697,4.85977072416811,5.02907364080941,6.14742392134403,5.12676157622731
"SPAL_0000005600",1.02232640305842,3.96579780262673,8.56354180512482,9.04077987338837,4.9350152270841,6.10744244452648,-0.685322763342273,-1.31152966726641,8.89384818677327,1.49589740441756
"SPAL_0000005700",5.43241244738441,5.35332435740311,6.84572390337196,6.92146115910125,5.443330294022,5.59082071063527,6.91803176059336,6.62239089801859,6.63091929156549,5.63053186254244
"SPAL_0000005800",0.620588156595244,1.30359419464283,-0.668916106324459,0.637320059989315,0.572851879407983,2.07619334408883,10.9525065151116,10.5503186312673,0.908845376016208,0.243005529167367
"SPAL_0000005900",5.34054557915416,5.9507764931939,6.8090934337252,7.46637991295458,5.98470462904085,6.30206896569998,7.50367673573925,8.05158434654864,7.15935736438879,5.95708131233471
"SPAL_0000006000",-2.47045187253168,4.23718512029159,0.632190644564622,0.77294487599342,5.8122417576978,6.41751054439809,-0.683203906212829,-1.01738400550293,-1.16877056437646,-2.16990164430816
"SPAL_0000006100",8.0324054330953,8.17104029354951,7.40791061682298,7.61279891251317,7.40234489495633,7.07898597598672,5.38033006698983,5.80855668283901,6.078451440383,8.558545459926
"SPAL_0000006200",1.2591602139779,3.36578435563819,-2.82851490340557,0.303375864754098,0.718223246859864,-0.482534906802654,1.13371514045097,2.54389278975073,0.190188797151319,1.78942033447537
"SPAL_0000006300",3.74286351355745,3.58348863712902,-0.271844075339252,-2.33907905109425,1.41166127214942,-2.45863614560223,-0.534786516912089,-1.09145594811291,-5.6925905379558,3.4327101903848
"SPAL_0000006400",3.37832592925514,3.38116198711826,0.349498886933664,0.054183833926411,2.11038163484214,0.873449612848519,3.17771780037196,3.41143609419472,-0.936777598933752,2.60649621559955
"SPAL_0000006500",4.20185775719703,5.50906345024859,5.90649669226946,5.94182965967327,5.2331005369876,5.39331302998093,3.00432458327423,3.37014635760267,6.16747987368602,5.2074074519286
"SPAL_0000006600",5.68961142269721,4.95851252127511,6.82734699193067,6.94983646497486,5.54608176900324,5.88912000048189,5.86464785994798,5.47408358538363,6.88617885162707,5.43821211833097
"SPAL_0000006700",0.339242706399287,-0.345523412470592,0.5172302573257,1.03449272334687,-3.40476706415314,-0.62858459323373,3.07604377724474,3.61623388794013,-1.60460287980196,0.0689145428912899
"SPAL_0000006800",0.549594832325714,3.68112087850605,8.00182214869682,8.31087955301225,4.43023822614138,5.4621603160585,0.42300428685878,1.10778008110829,8.41700308563418,0.304247963112979
"SPAL_0000006900",2.81840247424772,4.35268135686,2.75670199557038,0.825827635196376,3.61491589298466,2.33062927430246,0.556314969624255,0.527915166596902,0.610908915149697,4.34182076825789
"SPAL_0000007000",-2.47373035372432,0.934151197227681,-1.73037369720664,-0.450978281208543,1.49587042270952,1.44321551686554,-4.93162558257181,-1.91616532290431,1.83919435881351,-2.65745007901723
"SPAL_0000007100",-5.2761336028417,-2.95379339871077,-5.63430827123222,-2.77264879170672,-5.72767279131851,-3.58503229799333,-2.61048685434138,-2.19120275752329,3.21246671797623,-3.39341673149012
"SPAL_0000007200",-5.2761336028417,-6.40746251273142,-4.0445235221681,-4.65291224975294,-5.72767279131851,-5.91562289636582,-4.93162558257181,-4.12072858536736,-0.195626329557164,-4.97676255805371
"SPAL_0000007300",-5.2761336028417,-0.575372676725043,-2.16980556585852,-1.11078260349178,-2.91712710077644,-3.59099812435447,-4.93162558257181,-4.85914608662656,0.0922854064115746,-3.38844336276715
"SPAL_0000007400",-3.69534916023588,-1.55664143237487,-0.42832175342539,-1.98402468267432,0.00471961058141315,0.664797121741653,-4.93162558257181,-4.11833287108064,2.87379268083773,-1.81007695273232
"SPAL_0000007500",-3.69600784069104,-3.24497862427345,-1.55111818530587,-1.84039111836732,-5.72767279131851,-2.20609415249284,-4.93162558257181,-6.44474278651397,2.79465660611569,-2.6585250823653
"SPAL_0000007600",2.71329926388773,1.74717124329272,1.82814928160035,0.591060271213127,2.68144601201652,1.90565278618227,4.02910744814018,4.18475436337487,-0.947272883481842,3.78491910772956
"SPAL_0000007800",-3.27158816450793,-5.40878313626905,-5.63430827123222,-6.23659500369984,-5.72767279131851,-4.92077520144151,-2.33593556053399,-3.96635362496917,3.64747202608257,-3.97471150850568
"SPAL_0000007900",-5.2761336028417,-4.08909378302922,-5.63430827123222,-6.23659500369984,-4.14196444030909,-5.91562289636582,-4.93162558257181,-3.63833876884614,3.08586144642661,-3.156762035121
"SPAL_0000008100",4.32982131053022,2.88014603305325,3.36880128425222,2.95817858096332,5.50838992436931,6.48784936951949,-2.52206321387981,-0.968404642146655,0.440557552330155,3.01878725743639
"SPAL_0000008300",-0.253006539634178,2.52766003882203,0.235640977030731,1.91822587028429,3.04398512886426,4.0917728696021,0.543881389883981,1.45720058463822,-0.879370912044288,-1.07402400254557
"SPAL_0000008600",-2.50182592900287,-0.863324689681461,1.11182570000994,0.853552095800933,-0.743572825878549,-1.33456315448782,-2.32934296942987,-2.02079136853776,0.473791557314622,-0.650824619082929
"SPAL_0000008700",-5.2761336028417,-2.62282631829833,-3.2537649562808,-1.80738676270333,-4.11602738117609,-1.90932281742533,-4.93162558257181,-6.44474278651397,-0.00652433373145111,-4.97676255805371
"SPAL_0000008800",-3.69732991944305,0.377790502225897,-2.46975117836011,-6.23659500369984,0.505844525742368,1.06266461898434,-4.93162558257181,-4.11737165013262,-1.78624641103458,-2.65965323216014
"SPAL_0000008900",6.44499245885768,5.19491065684864,1.62002755746696,-0.0438975778798267,2.49995377246497,1.52780790529437,0.681317966140273,2.48124351888312,1.89986427913094,5.87724009013637
"SPAL_0000009000",3.34980237725044,4.40548444054398,1.69234745667171,1.59489267342921,3.52689744391164,2.99891135801484,1.29437808288973,2.79674462769903,2.90346304990907,4.27863698092214
"SPAL_0000009100",1.66040601253365,-0.351211200137495,-1.08484314260897,-1.47654495498197,-0.718215260322268,0.0424437736286513,2.8491517851391,3.84285308379701,-0.491578476499562,0.891224290202563
"SPAL_0000009200",5.71102492212986,5.62405514496091,5.88493552930257,6.23188503088146,5.48154887847548,5.53056381518793,6.90078154238269,6.39845852906812,6.40239081351221,5.58442332088991
"SPAL_0000009300",3.14449935098573,3.12496193364599,1.82349360931561,2.41204365139468,1.8932302785001,1.84056039320302,4.34823253194828,5.49460578835747,1.07654777122206,2.46369354463863
"SPAL_0000009400",5.46010741099942,3.44453982264115,4.27956727486372,4.04199989001243,4.18157590396102,3.94717526460319,6.39431531001785,5.5770362533124,3.80121608529497,4.62140794327488
"SPAL_0000009500",5.08744486202636,5.91332200904006,5.60104740208199,5.44650510065179,4.99807857742337,4.73171891233195,6.42829534422973,6.25937726010954,5.44917494006744,5.81323449066881
"SPAL_0000009600",1.72325262473579,0.363378541228342,1.54095995222656,0.761981524900727,0.614851384123183,0.956834376160198,2.16051716965312,3.46546635791104,1.19623632373919,1.43254249311915
"SPAL_0000009700",-2.95827401207554,-2.95444673568983,-2.82930033647915,-3.42722544952294,-0.969448196624569,-2.20747480017945,-0.54074675439846,-0.137221349615673,1.40547664970916,-2.17188072346586
"SPAL_0000009800",-1.58563294352618,-1.55892427312951,-0.997296954802682,-4.64488156948006,-0.229979773671279,-1.50873794197472,1.85753729575162,2.29542123289736,2.56916787189329,-4.97676255805371
"SPAL_0000009900",-5.2761336028417,-3.60321900921456,-5.63430827123222,-6.23659500369984,-5.72767279131851,-5.91562289636582,-4.93162558257181,-6.44474278651397,-0.0853876518723992,-4.97676255805371
"SPAL_0000010000",-5.2761336028417,-4.09441407216609,-4.05400916458709,-6.23659500369984,-5.72767279131851,-5.91562289636582,-3.35045821217242,-6.44474278651397,3.20758229124109,-3.39654276679671
"SPAL_0000010100",-5.2761336028417,-4.82081225004376,-5.63430827123222,-6.23659500369984,-4.14675591016084,-5.91562289636582,-4.93162558257181,-6.44474278651397,-0.0213672898002378,-4.97676255805371
"SPAL_0000010200",-1.82207539515957,-1.77164554413089,-4.05185996081615,-6.23659500369984,-3.40473523206521,-3.58937244604195,-4.93162558257181,-6.44474278651397,3.54174313542083,-1.81035756672581
"SPAL_0000010300",-5.2761336028417,0.207452797228239,-3.29496746075147,-4.61781397984972,1.5497270868026,0.892432332633642,-3.32275377886768,-4.86704996606271,-2.17830949293024,-4.97676255805371
"SPAL_0000010400",5.12392422755414,4.07052940349692,5.07736807266205,5.2032089933761,5.52639575740307,4.46993414362659,4.19342688571329,4.62474627967489,4.69201178636658,4.6254062182164
"SPAL_0000010500",1.023186661181,5.54612544176649,6.23260885638484,6.53155275747009,6.77714370929665,7.23826943374573,0.0214800637105315,0.907274367877289,2.85052485937498,-0.0249524568005245
"SPAL_0000010600",5.37380328203923,5.47412138140299,6.13167816402814,6.18076505959833,5.40995808923661,5.03192803874209,5.64248961590674,6.22005663894403,5.82131088898793,5.54580714175755
"SPAL_0000010700",2.83698081980785,3.31646793500261,3.98043079179465,4.67836351760807,2.60864900200589,3.35957367869381,4.17489576553497,4.36165492865314,2.9605056045716,2.75769610939095
