"","FLF-SAMD00096905","FLF-SAMD00096906","FLF-SAMD00096907","PF-SAMD00096908","PF-SAMD00096909","PF-SAMD00096910"
"SVE_0591400",5.70033762296871,5.41230671034002,5.84982259057721,6.3304768352579,6.40010376274912,6.54743888874007
"SVE_0591500",5.94492172696361,5.92750547392772,6.1821838582617,6.80188098627457,7.24308122376786,7.30052335783105
"SVE_0591600",3.37666398564941,2.63489506195115,3.87439920684032,1.97645194016249,1.65114084658437,1.73019182580479
"SVE_0591700",-0.325317097208131,-0.0884204053099122,1.00244279193982,1.5923394314555,0.744257814044463,1.39416403174355
"SVE_0591800",3.55543469544141,3.63261152233981,3.41960354021045,4.19481545138026,4.35088821954184,4.2904955718396
"SVE_0591900",4.87985874029535,5.37911593417896,4.73023204153869,5.6123116234687,6.08435958943384,5.97674713932192
"SVE_0592000",-0.24068270903537,1.00275151362161,0.524712102618576,0.789015234008422,0.418317865042017,0.231797845726825
"SVE_0592100",1.26969478083202,3.20217411200503,1.55557457067731,4.26643383505531,4.00901507327409,4.173846582178
"SVE_0592200",6.09237099581076,5.86661240094958,6.04381486069992,6.48570787957147,6.76997449195942,6.79336270018381
"SVE_0592700",-0.0913457952213133,-0.388257263961049,1.87078288583268,-1.05985833800824,-1.20138413000996,-1.46018656190625
"SVE_0592800",5.50427563658322,6.12147340560059,5.43058746735129,5.102845582753,5.07065989719035,4.97492105877081
"SVE_0592900",1.52356879800796,1.72923092807805,1.94485686174701,1.44171871613864,1.32855138035436,0.535736009581867
"SVE_0593100",6.46898763710993,6.55360892097337,6.34283536805196,6.12383048352715,5.72148254938353,5.85261143199075
"SVE_0593200",7.15065290508158,7.39502996340877,7.37447960572846,7.39040557460697,7.21142608416071,7.22734969216495
"SVE_0593300",2.1806903228483,2.88598812448848,2.72429383132916,3.85360296656027,4.17523504450695,4.36397977904262
"SVE_0593400",4.73680832555479,4.4940993054752,5.20910309634966,4.44487675072289,4.5891488326605,4.40080985627718
"SVE_0593500",3.42518495435998,3.05484149895819,3.83574123866415,3.65230762680608,3.58128665513842,3.74800148127756
"SVE_0593700",-0.505005157202043,-0.310261498796206,1.23732665591124,-1.01702901009446,0.0734393953201374,-0.822298537172878
"SVE_0593900",5.50349558694322,5.37779700873948,5.91758056596418,5.98846787471968,6.41279265817363,6.31771775349284
"SVE_0594100",-1.43248093666127,-0.499890352160971,0.281952091175875,-0.296206491171065,-0.115024927337553,-0.0323952155503175
"SVE_0594200",4.4808982244954,4.41211528270665,4.65551958419014,4.89551708393392,4.14814593167878,4.55678310029473
"SVE_0594400",0.182149362799717,-1.49399298938911,-1.39699732480864,0.268897319758632,-0.127498418820925,0.169551575000789
"SVE_0594500",-3.04156151854702,-4.0654848538542,-0.823869865996599,-3.32347364066131,-1.97661181665986,-2.00411259012982
"SVE_0594600",6.98520793165933,7.26163244162397,6.36643529737445,7.6084771613022,7.54081742034575,7.75500918364382
"SVE_0594800",4.68223637907616,5.01618707432049,5.42170739628189,3.67205402622815,3.78679037781686,3.64390113184754
"SVE_0594900",-0.50239034710265,-2.45861908105844,-0.597772421736645,-0.439682016055532,-0.274452533888892,0.0090076952390818
"SVE_0595000",7.51252208300574,7.60054069934165,7.57910080071181,7.88054562701663,8.24160799934121,8.07251863066882
"SVE_0595100",7.71476344314349,8.06865326793365,7.55867491201292,7.90828070507427,8.34411936813404,8.23837284574123
"SVE_0595200",3.61935104744018,2.8339825064534,2.47361312680201,1.55460257386504,2.05760942340166,1.08503435573938
"SVE_0595300",2.79832311714945,3.12669637783848,2.56941492941224,2.89711757969632,2.02013788233272,2.09305092589556
"SVE_0595400",3.47984438435628,3.89812257364656,3.36773875354098,5.3312665361277,5.46095542682597,5.4503250825001
"SVE_0595600",-1.37046530677069,-2.63973844643868,-0.0934017245869023,0.94093600475242,-0.311347981378349,0.0527014772234858
"SVE_0595700",-2.46332785473031,-4.89348892760494,-1.20503994619584,-0.763267263433078,-3.11993292880855,-0.508179162823091
"SVE_0596300",-2.0545557531696,-2.1180281771032,1.09963247023783,3.79055484945517,3.64135073832436,3.86852371106895
"SVE_0597000",0.229871571384951,2.04123996400577,2.16118193297965,-0.436196221310095,-1.03645253748813,-0.259400926935932
"SVE_0597400",2.04433465615092,1.09398462378774,3.89193958892884,2.61014410084069,2.20919427414676,2.35603858118438
"SVE_0597500",-1.10008396328255,-5.63425042535334,-2.18464689765915,-0.846398146227024,-0.477062788595144,-0.182435608559955
"SVE_0597600",-1.06816624934268,-5.63425641844053,-0.764938943936044,-2.18929680097793,-2.75545672646974,-0.660893329520133
"SVE_0597700",-1.51611429299648,-5.63424697988033,-2.57871059949913,-1.16852279824319,-1.53411752083146,-0.527923521927518
"SVE_0598500",-1.19898424179608,-0.821812508371815,0.484761310480909,-2.53889863556872,-3.91002148557393,-1.98994736842027
"SVE_0598600",1.75379824405003,2.17158742091936,1.89525372576681,1.60702586828063,1.75057135484776,1.68544531900187
"SVE_0598700",-1.45724235111221,-0.353834873931725,-1.27891684974459,-0.581564227013186,-0.332361062986628,0.060193782962122
"SVE_0598800",1.12264190337883,1.98344658954652,2.23346462127563,1.20844611116848,-0.206778994126752,0.788808713821221
"SVE_0598900",0.929696645727155,0.688999638668169,0.606233264632552,0.575957728463351,0.552685129891526,0.14262113389861
"SVE_0599000",2.40817853055209,2.84993817135997,3.01869037401291,1.83979415134223,1.15973423277436,1.1210636851293
"SVE_0599100",6.62596979347172,6.54168166929839,6.68601269549095,6.00204939176818,5.7166976492648,5.70472728585667
"SVE_0599200",-0.717316969886067,-1.24624139557421,-2.10030782729451,0.638495337476506,0.615382691804456,0.996489805181123
"SVE_0599500",3.54234795203055,3.2837362753269,3.84178300813991,3.16287129328234,2.89536880202028,2.96575102570423
"SVE_0599600",-2.56563154208332,-4.8632839007744,-2.73812515388615,-1.05700132024999,-0.55046372409657,-0.165364728208072
"SVE_0599700",1.75479681885402,1.89080113805705,1.24081593611017,2.79405383152832,2.29161831286575,2.73670601363684
"SVE_0599800",-0.812061590815921,-1.07109284746368,-1.50426741548616,0.691684699328188,-0.323824754647666,-0.946627335253834
"SVE_0599900",0.304120271298106,-2.32899690524584,2.19035499238758,0.743938083270143,-1.48937330025293,0.477036030927358
"SVE_0600000",-2.03779101980111,-1.97348928079333,0.187228336527951,-2.7664781539923,-3.9099941151258,-3.96980522993846
