"","FLM-ERS091917","iL3-ERS092590","PF-ERS209991","PF-ERS209992","PF-ERS209993","FLF-ERS209994","FLF-ERS209995","FLF-ERS209996"
"SRAE_0000000100",-5.34218015621498,-0.792391856524295,7.244154685139,6.77306227954377,6.9122080381041,-0.508367417799047,-0.73186357052368,-0.986634824965682
"SRAE_0000000200",-5.34218015621498,-1.93886571951558,2.4096731546704,2.29383170307521,2.1783719736825,-3.97717040509699,-5.35472469127493,-5.3084902917864
"SRAE_0000000300",-5.34218015621498,-1.68152092272714,3.55983884440298,3.07334839255258,3.29095623385989,-4.78535667717574,-4.58108403220427,-4.52427379494944
"SRAE_0000000400",-1.03727093197166,-3.53537253657451,2.86854806371501,2.59263872168949,2.54486907117811,-5.54718531298609,-5.32174855140443,-5.30849029155364
"SRAE_0000000500",-5.34218015621498,-3.53537253657451,0.477494960565043,0.732330369885951,0.479175307037969,-5.54718531298609,-6.14417110603476,-5.30849029155364
"SRAE_0000000600",1.27979724772374,-3.53537253657451,4.17220065020094,3.77620614501269,3.88372912707698,-3.56972287512092,-4.94871248211514,-5.3084902917919
"SRAE_0000000700",0.0792320099861887,-3.53537253657451,-4.84484294992947,-4.5595600501594,-3.93753691729953,-3.95623014377824,-3.5716495464803,-4.14419192626785
"SRAE_0000000800",4.37792320260001,-3.53537253657451,-0.809385496206375,-0.0943251385685419,-0.71766459039497,1.57991233159144,0.910502643810412,1.19869809120689
"SRAE_0000000900",1.81326448581758,6.10255229635289,4.5554631487,5.37851731630844,4.68734630813437,1.39104961480801,1.6455277202485,1.67125048239893
"SRAE_0000001000",-0.157762854684709,3.62994264052006,-0.0413218922828468,0.3470612913298,-0.260862097878636,-0.190965453590863,-0.410120570865395,0.0018467662768598
"SRAE_0000001100",-1.01165780584528,0.50688388801498,-6.00782713339349,-4.56149179196344,-5.10371612353847,-5.54718765442041,-6.14417118844266,-3.72283208052483
"SRAE_0000001200",4.27843045942215,-0.406759232519001,7.43588389081752,7.02029314312081,7.06725428772054,-1.2715073980815,-1.8690419151325,-1.50642688510958
"SRAE_0000001300",3.03501648294307,1.06233586675584,-1.56216684610482,-1.4616893370714,-1.53220851415945,-2.41264719268279,-2.89059643684234,-2.1767972482041
"SRAE_0000001400",-0.755235903976643,-1.24581951052417,4.19629445359237,3.68489455590236,3.84847992931209,-2.11181710695288,-2.56418203757805,-2.05546332715991
"SRAE_0000001500",2.48126171311558,4.56017937820025,5.18441618984873,4.70090156341843,5.16078378236745,6.1207181746468,6.17256956757167,6.21648192629966
"SRAE_0000001600",4.35347369219948,6.50294585178332,4.4424696964163,4.91624572848961,4.55068866796182,4.09331217378436,4.26043874842126,4.25901501763133
"SRAE_0000001700",7.45815743702683,5.90097568567789,7.88930108650607,7.84338403172736,7.77355308882505,7.76379897895292,7.76757212775233,7.7334662088143
"SRAE_0000001800",3.30312071537211,4.45806765503525,5.39833385043052,5.50236558817323,5.24825385839451,4.65679280980171,4.23865205334484,4.67348455720324
"SRAE_0000001900",-0.331315023126809,0.798012542518446,-0.555880332083428,-0.39658026314154,-0.442131668467633,0.279918471455852,0.242583086555141,-0.254754072863428
"SRAE_0000002000",7.97820602366102,9.18238140635403,7.54616186427417,8.03929993787327,7.49541625189491,8.56748513215872,8.77733180343004,8.6641013771382
"SRAE_0000002100",-3.78504495004006,5.01525543501104,-0.688991855794644,0.579743637138838,-0.317581031459775,-0.996900085508972,-0.436679680940857,-0.430937415155686
"SRAE_0000002200",2.16388235593655,4.86723466146649,5.29121745395725,5.28457246800655,5.36981317457065,5.51311289142371,5.48210487508877,5.55905451848786
"SRAE_0000002300",4.36673616377837,9.76339934459744,2.42156797786914,2.38764580686104,2.1355211055242,4.3457144764598,4.12793298596445,4.60457830564839
"SRAE_0000002500",0.445120570724457,1.82089743162645,-0.741945280708704,-0.971314812539022,-0.799349281063718,1.46519094565481,1.12856620723974,1.03548000080156
"SRAE_0000002600",0.139527155086346,4.30020299987771,1.20696430030959,0.787143889249147,1.1875685560269,1.55302107565545,1.02840236122814,1.16491272359079
"SRAE_0000002700",-5.34218015621498,2.79713471380198,-6.00782718717971,-4.56697927463297,-4.74350287742855,-3.97187047904552,-6.14417125176623,-4.1530593918255
"SRAE_0000002800",3.28738499434016,6.9345814256646,-0.0972324452431574,0.686280693444133,0.347796405182051,1.514611458287,1.14625551157695,1.28120320334871
"SRAE_0000002900",6.46877328542576,1.72061835914388,-2.11333487086227,-2.5472135948079,-1.50518067192713,1.67010554625639,0.591811214769221,1.7873912175622
